"Index","Data"
2000-01-01,634667.06
2000-02-01,642380.66
2000-03-01,699807.25
2000-04-01,586803.98
2000-05-01,656948.2
2000-06-01,570919.88
2000-07-01,576436.02
2000-08-01,593770.77
2000-09-01,590145.4
2000-10-01,641113.36
2000-11-01,657086.3
2000-12-01,673282.26
2001-01-01,569328.78702381
2001-02-01,597749.831785715
2001-03-01,736085.973214286
2001-04-01,606257.658928572
2001-05-01,664082.6575
2001-06-01,559333.033690476
2001-07-01,589452.734642857
2001-08-01,568546.374642857
2001-09-01,533108.394642857
2001-10-01,603371.184642857
2001-11-01,626156.184642857
2001-12-01,664190.184642857
2002-01-01,726672.599166666
2002-02-01,694344.779166666
2002-03-01,656379.289166666
2002-04-01,683646.169166666
2002-05-01,707165.469166666
2002-06-01,667820.709166666
2002-07-01,656761.599166666
2002-08-01,657099.739166666
2002-09-01,653664.599166666
2002-10-01,653053.269166666
2002-11-01,671401.329166666
2002-12-01,676192.449166666
2003-01-01,769843.3
2003-02-01,709783.58
2003-03-01,786484.49
2003-04-01,709626.3875
2003-05-01,755982.05
2003-06-01,641540.08
2003-07-01,631704.12
2003-08-01,613428.55
2003-09-01,582989.47
2003-10-01,722763.6
2003-11-01,639828.39
2003-12-01,652872.45
2004-01-01,656987.4
2004-02-01,659540.43
2004-03-01,746236.84
2004-04-01,633766.06
2004-05-01,556369.7
2004-06-01,560393.48
2004-07-01,583098.546
2004-08-01,699610.8
2004-09-01,612639.57
2004-10-01,619084.79
2004-11-01,705298.16
2004-12-01,761864.3
2005-01-01,724692.36
2005-02-01,717116.77
2005-03-01,802139.58
2005-04-01,803996.93
2005-05-01,715360.44
2005-06-01,681743.36
2005-07-01,678614.47
2005-08-01,693681.13
2005-09-01,666258.37
2005-10-01,589830.24
2005-11-01,701255.47
2005-12-01,775027.2
2006-01-01,750946.36
2006-02-01,734530.76
2006-03-01,875047.29
2006-04-01,711185.23
2006-05-01,734289.15
2006-06-01,672428.87
2006-07-01,684438.7
2006-08-01,707219.69
2006-09-01,650791.38
2006-10-01,683543.13
2006-11-01,739181.99
2006-12-01,776330.26
2007-01-01,810372.66
2007-02-01,799394.6
2007-03-01,956680.19
2007-04-01,758988.58
2007-05-01,811703.69
2007-06-01,720896.77
2007-07-01,721550.61
2007-08-01,736620.9
2007-09-01,669587.88
2007-10-01,738702.86
2007-11-01,779547.05
2007-12-01,768886.87
2008-01-01,797668.91
2008-02-01,794000.25
2008-03-01,776026.79
2008-04-01,807725.77
2008-05-01,682326.18
2008-06-01,507662.65
2008-07-01,544399.26
2008-08-01,556174.4
2008-09-01,557802.62
2008-10-01,617863.13
2008-11-01,688104.11
2008-12-01,778953.84
2009-01-01,800526.47
2009-02-01,795050.51
2009-03-01,865981.57
2009-04-01,822109.74
2009-05-01,770687.28
2009-06-01,703815.55
2009-07-01,740868.09
2009-08-01,692376.7
2009-09-01,687435.1
2009-10-01,775739.56
2009-11-01,738678.65
2009-12-01,891670.41
2010-01-01,777741.34
2010-02-01,807692.1
2010-03-01,1017058.18
2010-04-01,762770.01
2010-05-01,721668.18
2010-06-01,683236.54
2010-07-01,721584.6
2010-08-01,695796.33
2010-09-01,687553.88
2010-10-01,745415.51
2010-11-01,785917.4
2010-12-01,843762
2011-01-01,850696.79
2011-02-01,819940.5
2011-03-01,900485.91
2011-04-01,797527.23
2011-05-01,803849.53
2011-06-01,729676.79
2011-07-01,718255.06
2011-08-01,699736.08
2011-09-01,660384.93
2011-10-01,672214.93
2011-11-01,794507.24
2011-12-01,862318.8
2012-01-01,814956.72
2012-02-01,848067.25
2012-03-01,925065.27
2012-04-01,792201.73
2012-05-01,771542.47
2012-06-01,712464.94
2012-07-01,699130.04
2012-08-01,716720.36
2012-09-01,632120.37
2012-10-01,728414.88
2012-11-01,812523.44
2012-12-01,848262.93
2013-01-01,863769.41
2013-02-01,808853.97
2013-03-01,898352.2
2013-04-01,966103.92
2013-05-01,827601.25
2013-06-01,775187.12286
2013-07-01,732544.52
2013-08-01,773147.9
2013-09-01,672125.16
2013-10-01,800049.12
2013-11-01,821457.45
2013-12-01,860351.9
2014-01-01,917251.54
2014-02-01,890362.31
2014-03-01,1004937.39
2014-04-01,972039.42
2014-05-01,877263.31
2014-06-01,733508.7
2014-07-01,826918.81
2014-08-01,793694.01
2014-09-01,728498.84
2014-10-01,836278.12
2014-11-01,885713.74
2014-12-01,1021378.09
2015-01-01,1014706.21
2015-02-01,980149.84
2015-03-01,1142551.06
2015-04-01,1011167.74
2015-05-01,944316.66
2015-06-01,880016.47
2015-07-01,902586.36
2015-08-01,887796.85
