"Index","Data"
2000-01-01,566101.99
2000-02-01,489525.8
2000-03-01,575559.68
2000-04-01,437745.42
2000-05-01,552609.13
2000-06-01,497855.26
2000-07-01,302350.02
2000-08-01,464159.13
2000-09-01,321952.94
2000-10-01,438989.55
2000-11-01,440245.35
2000-12-01,479983.27
2001-01-01,500041.32
2001-02-01,686923.83
2001-03-01,432538.46
2001-04-01,424667.36
2001-05-01,497781.66
2001-06-01,496826.62
2001-07-01,636727.84
2001-08-01,346225
2001-09-01,638933.22
2001-10-01,703749.81
2001-11-01,573289.5
2001-12-01,678749.64
2002-01-01,797344.38
2002-02-01,765912.66
2002-03-01,693942.31
2002-04-01,873103.096
2002-05-01,625190.08
2002-06-01,671882.83
2002-07-01,822014.55
2002-08-01,494087.13
2002-09-01,614913.68
2002-10-01,433084.99
2002-11-01,627189.78
2002-12-01,745524.88
2003-01-01,762385.45
2003-02-01,460947.5
2003-03-01,772128.26
2003-04-01,809194.95
2003-05-01,634209.64
2003-06-01,461381.79
2003-07-01,467154.31
2003-08-01,669462.53
2003-09-01,714039.85
2003-10-01,655715.05
2003-11-01,726697.88
2003-12-01,781266.61
2004-01-01,663058.79
2004-02-01,683664.39
2004-03-01,778645.07
2004-04-01,708164.74
2004-05-01,875087.62
2004-06-01,1041016.72
2004-07-01,770731.74
2004-08-01,815435.2
2004-09-01,229764.74
2004-10-01,671848.94
2004-11-01,635553.46
2004-12-01,1212610.53
2005-01-01,708730.84
2005-02-01,767710.63
2005-03-01,744721.94
2005-04-01,935306.58
2005-05-01,822556.45
2005-06-01,361207.59
2005-07-01,971716.72
2005-08-01,603747.33
2005-09-01,473431.31
2005-10-01,1220719.64
2005-11-01,431874.86
2005-12-01,890336.68
2006-01-01,818060.57
2006-02-01,822325.65
2006-03-01,569451.85
2006-04-01,850138.11
2006-05-01,793887.04
2006-06-01,855757.14
2006-07-01,1118432.25
2006-08-01,824047.47
2006-09-01,497008.84
2006-10-01,885924.86
2006-11-01,665114.83
2006-12-01,812776.59
2007-01-01,613819.33
2007-02-01,500922.23
2007-03-01,1095743.35
2007-04-01,682042.07
2007-05-01,710464.76
2007-06-01,817804.84
2007-07-01,541486.15
2007-08-01,713650.52
2007-09-01,544521.54
2007-10-01,344273.02
2007-11-01,809439.42
2007-12-01,524038.42
2008-01-01,941535.71
2008-02-01,914059.4
2008-03-01,893473.8
2008-04-01,816840.02
2008-05-01,621339.93
2008-06-01,735260.51
2008-07-01,850806.89
2008-08-01,842742.17
2008-09-01,611966.22
2008-10-01,869366.31
2008-11-01,894309.88
2008-12-01,1144960.66
2009-01-01,905803.65
2009-02-01,447271.92
2009-03-01,947702.88
2009-04-01,613011.21
2009-05-01,1086036.16
2009-06-01,587828.26
2009-07-01,712889.93
2009-08-01,637252.29
2009-09-01,741721.42
2009-10-01,630692.56
2009-11-01,565627.54
2009-12-01,1135293.92
2010-01-01,1033948.69
2010-02-01,772775.58
2010-03-01,707536.31
2010-04-01,767445.36
2010-05-01,918940.44
2010-06-01,553883.42
2010-07-01,734958.54
2010-08-01,1014324.28
2010-09-01,795554.71
2010-10-01,612133.26
2010-11-01,575406.48
2010-12-01,732921.03
2011-01-01,790123.23
2011-02-01,887963.98
2011-03-01,978693.29
2011-04-01,697871.28
2011-05-01,833370.09
2011-06-01,767124.65
2011-07-01,1021995.9
2011-08-01,626706.23
2011-09-01,619651.27
2011-10-01,463054.77
2011-11-01,538552.89
2011-12-01,1324780.96
2012-01-01,749266.68
2012-02-01,709843.02
2012-03-01,832627.57
2012-04-01,860094.78
2012-05-01,1202187.85
2012-06-01,729711.88
2012-07-01,693160.5
2012-08-01,505133.44
2012-09-01,803626.98
2012-10-01,980327.98
2012-11-01,903218.47
2012-12-01,791698.89
2013-01-01,1595698.56
2013-02-01,688703.18
2013-03-01,1147182.5
2013-04-01,845051.33
2013-05-01,1008148.07
2013-06-01,694920.68
2013-07-01,845875.86
2013-08-01,760353.37
2013-09-01,598145.89
2013-10-01,762763.24
2013-11-01,1033873.16
2013-12-01,1004032.65
2014-01-01,1324421.96
2014-02-01,955286.02
2014-03-01,1164885.97
2014-04-01,1130870.79
2014-05-01,954782.75
2014-06-01,862071.77
2014-07-01,1149630.43
2014-08-01,919285.9
2014-09-01,754068.77
2014-10-01,1163425.95
2014-11-01,904700.42
2014-12-01,1113876.28
2015-01-01,987507.78
2015-02-01,1167227.96
2015-03-01,1498844.95
2015-04-01,1137213.1
2015-05-01,1035544.08
2015-06-01,800222.53
2015-07-01,859222.62
2015-08-01,701185.75
2015-09-01,1274128.31
2015-10-01,927923.5
2015-11-01,957656.05
2015-12-01,1303735.78
2016-01-01,842993.49
2016-02-01,844676.98
2016-03-01,1351787.92
2016-04-01,1406022.43
2016-05-01,889926.86
2016-06-01,902659
2016-07-01,994338.3
2016-08-01,846696.35
2016-09-01,925397.87
2016-10-01,740198.57
2016-11-01,1135350.1
2016-12-01,1305047.55
2017-01-01,1153831.89
2017-02-01,921684.12
2017-03-01,889227.1
2017-04-01,696962.77
2017-05-01,1592580.34
2017-06-01,777679.91
2017-07-01,793683.41
2017-08-01,1281364.78
2017-09-01,896266.43
2017-10-01,992682.04
2017-11-01,899588.34
2017-12-01,792198.66
2018-01-01,1195728.2
2018-02-01,1208476.16
2018-03-01,1550052.84
2018-04-01,1215209.05
2018-05-01,1011872.87
2018-06-01,1029100.9
2018-07-01,1056569.11
2018-08-01,1167556.89
2018-09-01,717490.02
2018-10-01,1160570.85
2018-11-01,1122990.69
2018-12-01,1098972.39
2019-01-01,999181.2
2019-02-01,1237018.37
2019-03-01,1367335.14
2019-04-01,834366.52
2019-05-01,691066.44
2019-06-01,1066148.05
2019-07-01,779930.57
2019-08-01,791258.19
2019-09-01,1021360.83
2019-10-01,891340.69
2019-11-01,1152909.51
2019-12-01,1050560.83
2020-01-01,1185644.96
2020-02-01,1076824.67
2020-03-01,1345110.18
2020-04-01,1250171.58
2020-05-01,1279017.24
2020-06-01,1440106.47
2020-07-01,1110409.53
2020-08-01,1175960.64
