,Index,Data,Combustible,Tipo
0,2000-01-01,634667.06,Diesel,Consumo
1,2000-02-01,642380.66,Diesel,Consumo
2,2000-03-01,699807.25,Diesel,Consumo
3,2000-04-01,586803.98,Diesel,Consumo
4,2000-05-01,656948.2,Diesel,Consumo
5,2000-06-01,570919.88,Diesel,Consumo
6,2000-07-01,576436.02,Diesel,Consumo
7,2000-08-01,593770.77,Diesel,Consumo
8,2000-09-01,590145.4,Diesel,Consumo
9,2000-10-01,641113.36,Diesel,Consumo
10,2000-11-01,657086.3,Diesel,Consumo
11,2000-12-01,673282.26,Diesel,Consumo
12,2001-01-01,569328.78702381,Diesel,Consumo
13,2001-02-01,597749.831785715,Diesel,Consumo
14,2001-03-01,736085.973214286,Diesel,Consumo
15,2001-04-01,606257.658928572,Diesel,Consumo
16,2001-05-01,664082.6575,Diesel,Consumo
17,2001-06-01,559333.033690476,Diesel,Consumo
18,2001-07-01,589452.734642857,Diesel,Consumo
19,2001-08-01,568546.374642857,Diesel,Consumo
20,2001-09-01,533108.394642857,Diesel,Consumo
21,2001-10-01,603371.184642857,Diesel,Consumo
22,2001-11-01,626156.184642857,Diesel,Consumo
23,2001-12-01,664190.184642857,Diesel,Consumo
24,2002-01-01,726672.599166666,Diesel,Consumo
25,2002-02-01,694344.779166666,Diesel,Consumo
26,2002-03-01,656379.289166666,Diesel,Consumo
27,2002-04-01,683646.169166666,Diesel,Consumo
28,2002-05-01,707165.469166666,Diesel,Consumo
29,2002-06-01,667820.709166666,Diesel,Consumo
30,2002-07-01,656761.599166666,Diesel,Consumo
31,2002-08-01,657099.739166666,Diesel,Consumo
32,2002-09-01,653664.599166666,Diesel,Consumo
33,2002-10-01,653053.269166666,Diesel,Consumo
34,2002-11-01,671401.329166666,Diesel,Consumo
35,2002-12-01,676192.449166666,Diesel,Consumo
36,2003-01-01,769843.3,Diesel,Consumo
37,2003-02-01,709783.58,Diesel,Consumo
38,2003-03-01,786484.49,Diesel,Consumo
39,2003-04-01,709626.3875,Diesel,Consumo
40,2003-05-01,755982.05,Diesel,Consumo
41,2003-06-01,641540.08,Diesel,Consumo
42,2003-07-01,631704.12,Diesel,Consumo
43,2003-08-01,613428.55,Diesel,Consumo
44,2003-09-01,582989.47,Diesel,Consumo
45,2003-10-01,722763.6,Diesel,Consumo
46,2003-11-01,639828.39,Diesel,Consumo
47,2003-12-01,652872.45,Diesel,Consumo
48,2004-01-01,656987.4,Diesel,Consumo
49,2004-02-01,659540.43,Diesel,Consumo
50,2004-03-01,746236.84,Diesel,Consumo
51,2004-04-01,633766.06,Diesel,Consumo
52,2004-05-01,556369.7,Diesel,Consumo
53,2004-06-01,560393.48,Diesel,Consumo
54,2004-07-01,583098.546,Diesel,Consumo
55,2004-08-01,699610.8,Diesel,Consumo
56,2004-09-01,612639.57,Diesel,Consumo
57,2004-10-01,619084.79,Diesel,Consumo
58,2004-11-01,705298.16,Diesel,Consumo
59,2004-12-01,761864.3,Diesel,Consumo
60,2005-01-01,724692.36,Diesel,Consumo
61,2005-02-01,717116.77,Diesel,Consumo
62,2005-03-01,802139.58,Diesel,Consumo
63,2005-04-01,803996.93,Diesel,Consumo
64,2005-05-01,715360.44,Diesel,Consumo
65,2005-06-01,681743.36,Diesel,Consumo
66,2005-07-01,678614.47,Diesel,Consumo
67,2005-08-01,693681.13,Diesel,Consumo
68,2005-09-01,666258.37,Diesel,Consumo
69,2005-10-01,589830.24,Diesel,Consumo
70,2005-11-01,701255.47,Diesel,Consumo
71,2005-12-01,775027.2,Diesel,Consumo
72,2006-01-01,750946.36,Diesel,Consumo
73,2006-02-01,734530.76,Diesel,Consumo
74,2006-03-01,875047.29,Diesel,Consumo
75,2006-04-01,711185.23,Diesel,Consumo
76,2006-05-01,734289.15,Diesel,Consumo
77,2006-06-01,672428.87,Diesel,Consumo
78,2006-07-01,684438.7,Diesel,Consumo
79,2006-08-01,707219.69,Diesel,Consumo
80,2006-09-01,650791.38,Diesel,Consumo
81,2006-10-01,683543.13,Diesel,Consumo
82,2006-11-01,739181.99,Diesel,Consumo
83,2006-12-01,776330.26,Diesel,Consumo
84,2007-01-01,810372.66,Diesel,Consumo
85,2007-02-01,799394.6,Diesel,Consumo
86,2007-03-01,956680.19,Diesel,Consumo
87,2007-04-01,758988.58,Diesel,Consumo
88,2007-05-01,811703.69,Diesel,Consumo
89,2007-06-01,720896.77,Diesel,Consumo
90,2007-07-01,721550.61,Diesel,Consumo
91,2007-08-01,736620.9,Diesel,Consumo
92,2007-09-01,669587.88,Diesel,Consumo
93,2007-10-01,738702.86,Diesel,Consumo
94,2007-11-01,779547.05,Diesel,Consumo
95,2007-12-01,768886.87,Diesel,Consumo
96,2008-01-01,797668.91,Diesel,Consumo
97,2008-02-01,794000.25,Diesel,Consumo
98,2008-03-01,776026.79,Diesel,Consumo
99,2008-04-01,807725.77,Diesel,Consumo
100,2008-05-01,682326.18,Diesel,Consumo
101,2008-06-01,507662.65,Diesel,Consumo
102,2008-07-01,544399.26,Diesel,Consumo
103,2008-08-01,556174.4,Diesel,Consumo
104,2008-09-01,557802.62,Diesel,Consumo
105,2008-10-01,617863.13,Diesel,Consumo
106,2008-11-01,688104.11,Diesel,Consumo
107,2008-12-01,778953.84,Diesel,Consumo
108,2009-01-01,800526.47,Diesel,Consumo
109,2009-02-01,795050.51,Diesel,Consumo
110,2009-03-01,865981.57,Diesel,Consumo
111,2009-04-01,822109.74,Diesel,Consumo
112,2009-05-01,770687.28,Diesel,Consumo
113,2009-06-01,703815.55,Diesel,Consumo
114,2009-07-01,740868.09,Diesel,Consumo
115,2009-08-01,692376.7,Diesel,Consumo
116,2009-09-01,687435.1,Diesel,Consumo
117,2009-10-01,775739.56,Diesel,Consumo
118,2009-11-01,738678.65,Diesel,Consumo
119,2009-12-01,891670.41,Diesel,Consumo
120,2010-01-01,777741.34,Diesel,Consumo
121,2010-02-01,807692.1,Diesel,Consumo
122,2010-03-01,1017058.18,Diesel,Consumo
